,Category,Skill
0,PROFESIONES CIENTÍFICAS Y OTRAS,FÍSICO
1,DERECHO Y JUSTICIA,ABOGACÍA
2,DERECHO Y JUSTICIA,DERECHO URBANÍSTICO
3,DERECHO Y JUSTICIA,MAGISTRADO
4,DERECHO Y JUSTICIA,PASANTE
5,DERECHO Y JUSTICIA,TRIBUNAL CONSTITUCIONAL
6,Persönliche Attribute,BI-LINGUAL
7,Education,ACADEMIC ADVISING
8,Education,COURSE DEVELOPMENT
9,Education,EDUCATIONAL PROGRAMS
10,Education,EDUCATIONAL PROJECTS
11,Education,ENSEIGNEMENT
12,Education,ENSINO
13,Education,INSEGNAMENTO
14,Education,LIBRARIAN
15,Education,STUDENT RECORDS
16,Education,TEACHING
17,RECURSOS HUMANOS,PREVENCIÓN DE RIESGOS LABORALES
18,Scientific,ADME
19,Scientific,ANALYTICAL LABORATORY
20,Scientific,ANDA
21,Scientific,ANIMAL HOSPITAL
22,Scientific,ANIMAL SCIENCE
23,Scientific,AUDIOLOGY
24,Scientific,AUTOCLAVE
25,Scientific,BACTERIA
26,Scientific,BATCH PROCESSING
27,Scientific,BIOCHEMICAL
28,Scientific,BIOCHEMISTRY
29,Scientific,BIOINFORMATICS
30,Scientific,BIOLOGICAL SCIENCES
31,Scientific,BIOMEDICAL
32,Scientific,BIOTECHNOLOGY
33,Scientific,CGMP
34,Scientific,CHEMICAL ANALYSIS
35,Scientific,CHEMICAL TESTING
36,Scientific,CHEMISTRY
37,Scientific,CHROMATOGRAPH
38,Scientific,CHROMATOGRAPHY
39,Scientific,CLINICAL RESEARCH
40,Scientific,CLONING
41,Scientific,COLOR THEORY
42,Scientific,COMPOUNDING
43,Scientific,CONJUGATION
44,Scientific,CRYSTALLOGRAPHY
45,Scientific,DISSOLUTION
46,Scientific,DNA
47,Scientific,ELECTRON MICROSCOPY
48,Scientific,ELISA
49,Scientific,EMULSIONS
50,Scientific,ENVIRONMENTAL CHEMISTRY
51,Scientific,ENVIRONMENTAL MONITORING
52,Scientific,EQUIPMENT SALES
53,Scientific,EXPERIMENTAL DESIGN
54,Scientific,FERMENTATION
55,Scientific,FOOD CHEMISTRY
56,Scientific,FOOD TECHNOLOGY
57,Scientific,FORENSIC
58,Scientific,FORENSICS
59,Scientific,FTIR
60,Scientific,GCP
61,Scientific,GENETIC ALGORITHM
62,Scientific,GENOMICS
63,Scientific,GEOLOGIST
64,Scientific,GEOLOGY
65,Scientific,GLP
66,Scientific,HACCP
67,Scientific,HLA
68,Scientific,HORTICULTURE
69,Scientific,ION
70,Scientific,LABORATORY
71,Scientific,LABVIEW
72,Scientific,LASER
73,Scientific,LASER TECHNOLOGY
74,Scientific,LIFE SCIENCES
75,Scientific,LINGUISTICS
76,Scientific,LIQUID NITROGEN
77,Scientific,MAGNETIC PARTICLE
78,Scientific,MATERIALS SCIENCE
79,Scientific,MATLAB
80,Scientific,MEDICAL DEVICE
81,Scientific,MERCURY
82,Scientific,METALLURGICAL
83,Scientific,METALLURGY
84,Scientific,METHOD VALIDATION
85,Scientific,METROLOGY
86,Scientific,MICROBIOLOGICAL
87,Scientific,MICROBIOLOGY
88,Scientific,MICROBIOLOGY LABORATORY
89,Scientific,MICROSCOPE
90,Scientific,MOLECULAR BIOLOGY
91,Scientific,MONTE CARLO
92,Scientific,NCA
93,Scientific,NEUROSCIENCE
94,Scientific,NMR
95,Scientific,NUCLEAR MEDICINE
96,Scientific,NUCLEAR PHARMACY
97,Scientific,ORGANIC CHEMISTRY
98,Scientific,PCR
99,Scientific,PHARMACEUTICAL MANUFACTURING
100,Scientific,PHARMACEUTICAL PACKAGING
101,Scientific,PLASMA
102,Scientific,POLYMER
103,Scientific,POLYMERIZATION
104,Scientific,POLYMERS
105,Scientific,POWDER METALLURGY
106,Scientific,QSAR
107,Scientific,RHEOLOGY
108,Scientific,RNA
109,Scientific,SAMPLE PREPARATION
110,Scientific,SAMPLING
111,Scientific,SCANNING ELECTRON
112,Scientific,SEQUENCING
113,Scientific,SNP
114,Scientific,SOLID DOSE
115,Scientific,SPECTROGRAPH
116,Scientific,SPECTROPHOTOMETER
117,Scientific,STATISTICAL ANALYSIS
118,Scientific,STERILE
119,Scientific,TECHNICAL RESEARCH
120,Scientific,THERMAL ANALYSIS
121,Scientific,TISSUE CULTURE
122,Scientific,TOXICOLOGY
123,Scientific,TRIGONOMETRY
124,Scientific,USP
125,Scientific,VIROLOGY
126,Scientific,VISCOMETER
127,Scientific,VISCOSITY
128,Scientific,VIVO
129,Scientific,X-RAY DIFFRACTION
130,Scientific,ZOOLOGY
131,Hardware Engineering,ABAQUS
132,Hardware Engineering,ADC
133,Hardware Engineering,ALSA
134,Hardware Engineering,ANSYS
135,Hardware Engineering,AVR
136,Hardware Engineering,BLUETOOTH
137,Hardware Engineering,COMMUNICATION PROTOCOL
138,Hardware Engineering,CORRECTIVE AND PREVENTIVE ACTION
139,Hardware Engineering,CREO
140,Hardware Engineering,CYCLE TIME
141,Hardware Engineering,DAC
142,Hardware Engineering,DEBUG
143,Hardware Engineering,DESIGN FOR ASSEMBLY
144,Hardware Engineering,DESIGN FOR MANUFACTURING
145,Hardware Engineering,DESIGN FOR SIX SIGMA
146,Hardware Engineering,ELECTROMAGNETIC
147,Hardware Engineering,EMC
148,Hardware Engineering,EMI
149,Hardware Engineering,EQUIPMENT SELECTION
150,Hardware Engineering,FAILURE ANALYSIS
151,Hardware Engineering,FAULT DETECTION
152,Hardware Engineering,FEA
153,Hardware Engineering,FREESCALE
154,Hardware Engineering,GAGE R&R
155,Hardware Engineering,GPS
156,Hardware Engineering,I2C
157,Hardware Engineering,I2S
158,Hardware Engineering,IFS
159,Hardware Engineering,LABVIEW
160,Hardware Engineering,MATERIAL HANDLING
161,Hardware Engineering,MECHANICAL DESIGN
162,Hardware Engineering,MECHANICAL ENGINEERING
163,Hardware Engineering,MINITAB
164,Hardware Engineering,MSEE
165,Hardware Engineering,MSME
166,Hardware Engineering,NEW PRODUCT INTRODUCTION
167,Hardware Engineering,ODI
168,Hardware Engineering,OPTO
169,Hardware Engineering,OSCILLOSCOPE
170,Hardware Engineering,PCB
171,Hardware Engineering,PRO ENGINEER
172,Hardware Engineering,PROCESS DEVELOPMENT
173,Hardware Engineering,PRODUCT LAUNCH
174,Hardware Engineering,PRO-E
175,Hardware Engineering,RELIABILITY ANALYSIS
176,Hardware Engineering,SANE
177,Hardware Engineering,SOLIDWORKS
178,Hardware Engineering,SPECTRUM ANALYZER
179,Hardware Engineering,SPI
180,Hardware Engineering,STATISTICAL PROCESS CONTROL
181,Hardware Engineering,STRESS ANALYSIS
182,Hardware Engineering,SURFACE MOUNT TECHNOLOGY
183,Hardware Engineering,SYMBIAN
184,Hardware Engineering,SYSTEM LEVEL
185,Hardware Engineering,THERMAL ANALYSIS
186,Hardware Engineering,TOLERANCE ANALYSIS
187,Hardware Engineering,UART
188,Hardware Engineering,VXWORKS
189,Hardware Engineering,WDDM
190,Hardware Engineering,YIELD IMPROVEMENT
191,Pas de taxonomie dominante,NO SKILLS FOUND
192,Pas de taxonomie dominante,URBAN PLANNING
193,Marketing,ABOVE THE LINE
194,Marketing,ADOBE CS
195,Marketing,ADVERTISING
196,Marketing,ADVERTISING PROMOTION
197,Marketing,ADVERTISING STRATEGY
198,Marketing,AFTERMARKET
199,Marketing,AGENCY MANAGEMENT
200,Marketing,AUDIENCE INSIGHTS
201,Marketing,AUDIENCE SEGMENTATION
202,Marketing,B2B
203,Marketing,B2C
204,Marketing,B2G
205,Marketing,BELOW THE LINE
206,Marketing,BILL OF MATERIALS
207,Marketing,BRAND ACTIVATION
208,Marketing,BRAND DESIGN
209,Marketing,BRAND IDENTITY
210,Marketing,BRAND MANAGEMENT
211,Marketing,BRAND MARKETING
212,Marketing,BRANDING
213,Marketing,BUSINESS INSIGHTS
214,Marketing,BUSINESS INTELLIGENCE
215,Marketing,BUSINESS MANAGEMENT
216,Marketing,BUSINESS PLAN
217,Marketing,BUSINESS PLANNING
218,Marketing,CAMPAIGN MANAGEMENT
219,Marketing,CATEGORY MANAGEMENT
220,Marketing,CHANNEL MANAGEMENT
221,Marketing,CHANNEL MARKETING
222,Marketing,CHANNEL STRATEGY
223,Marketing,CHANNEL SUPPORT
224,Marketing,CLIENT SERVICES
225,Marketing,CMR
226,Marketing,COMMUNITY ENGAGEMENT
227,Marketing,COMPETITION ANALYSIS
228,Marketing,COMPETITIVE ANALYSIS
229,Marketing,COMPETITIVE MARKET ANALYSIS
230,Marketing,COMPETITIVE POSITIONING
231,Marketing,CONDUCTING SURVEYS
232,Marketing,CONSUMER BEHAVIOR
233,Marketing,CONSUMER NEEDS
234,Marketing,CONSUMER SURVEYS
235,Marketing,CONTENT CREATION
236,Marketing,CONTENT DEVELOPMENT
237,Marketing,CONTRACT MANAGEMENT
238,Marketing,CONTRACT NEGOTIATION
239,Marketing,COPYWRITER
240,Marketing,COPYWRITING
241,Marketing,CORPORATE COMMUNICATIONS
242,Marketing,CPM
243,Marketing,CREATIVE DESIGN
244,Marketing,CREATIVE DIRECTION
245,Marketing,CRISIS MANAGEMENT
246,Marketing,CUSTOMER BEHAVIOR
247,Marketing,CUSTOMER ENGAGEMENT
248,Marketing,CUSTOMER SERVICE MANAGEMENT
249,Marketing,DATA ANALYTICS
250,Marketing,DATA MINING
251,Marketing,DATA SCIENCE
252,Marketing,DE MARKETING
253,Marketing,DESENVOLVIMENTO DE PRODUTOS
254,Marketing,DI MARKETING
255,Marketing,DIGITAL CAMPAIGN
256,Marketing,DIGITAL DESIGN
257,Marketing,DIGITAL MARKETING
258,Marketing,DIGITAL MEDIA
259,Marketing,DIGITAL STRATEGY
260,Marketing,DIRECT MAIL
261,Marketing,DIRECT MARKETING
262,Marketing,DISPLAY ADVERTISING
263,Marketing,ECOSYSTEM
264,Marketing,EVENT PLANNING
265,Marketing,EXECUTIVE COMMUNICATIONS
266,Marketing,FACEBOOK MARKETING
267,Marketing,FUNDRAISING
268,Marketing,GFK
269,Marketing,GRASSROOTS
270,Marketing,HADOOP
271,Marketing,INBOUND AND OUTBOUND
272,Marketing,INBOUND MARKETING
273,Marketing,INCENTIVE PROGRAMS
274,Marketing,INFORMATION ARCHITECTURE
275,Marketing,INTERACTIVE MEDIA
276,Marketing,INTERNAL COMMUNICATIONS
277,Marketing,INTERNAL CORPORATE COMMUNICATIONS
278,Marketing,INTERNET MARKETING
279,Marketing,ISSUES MANAGEMENT
280,Marketing,LAUNCH PLAN
281,Marketing,LOGO DESIGN
282,Marketing,MARCOM
283,Marketing,MARKET ANALYSIS
284,Marketing,MARKET INSIGHTS
285,Marketing,MARKET RESEARCH
286,Marketing,MARKET SEGMENTATION
287,Marketing,MARKET SHARE
288,Marketing,MARKET TRENDS
289,Marketing,MARKETING
290,Marketing,MARKETING ANALYSIS
291,Marketing,MARKETING AUTOMATION
292,Marketing,MARKETING CAMPAIGN
293,Marketing,MARKETING COLLATERAL
294,Marketing,MARKETING COMMUNICATIONS
295,Marketing,MARKETING DE VAREJO
296,Marketing,MARKETING DEPARTMENT
297,Marketing,MARKETING DEVELOPMENT
298,Marketing,MARKETING MANAGEMENT
299,Marketing,MARKETING MIX
300,Marketing,MARKETING PLAN
301,Marketing,MARKETING PROMOTIONS
302,Marketing,MARKETING RESEARCH
303,Marketing,MARKETING SALES
304,Marketing,MARKETING SPECIALIST
305,Marketing,MARKETING STRATEGICO
306,Marketing,MARKETING STRATEGY
307,Marketing,MARKETING STRATEGY DEVELOPMENT
308,Marketing,MARKETING/ADVERTISING
309,Marketing,MEDIA PLAN
310,Marketing,MEDIA PLANNING
311,Marketing,MEDIA RELATIONS
312,Marketing,MEDIA STRATEGY
313,Marketing,MERCHANDISING
314,Marketing,MINITAB
315,Marketing,MIXED MEDIA
